鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
汐止區,房地(土地+建物),新北市汐止區龍安路28巷1~30號,0.0,商,,,10411,土地1建物1車位0,五層,26,套房(1房1廳1衛),商業用,鋼筋混凝土造,0860703,36.83,1,0,1,有,有,有,11000,299,,0.0,0,租金內含管理費,RPSPMLNJJIKFFDF18CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段121~150號,0.0,住,,,10411,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040709,178.93,4,2,2,有,有,無,29000,162,坡道平面,35.8,0,,RPWPMLNJJIKFFDF58CC
淡水區,房地(土地+建物),新北市淡水區中山北路二段181~210號,19.98,住,,,10410,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031008,107.2,2,2,1,有,有,有,16000,149,,0.0,0,,RPTPMLNJJIKFFEF38CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段331巷91~120號,21.06,住,,,10410,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031024,94.56,2,2,1,有,有,無,10000,106,坡道平面,26.54,0,,RPOQMLNJJIKFFEF97CC
八里區,土地,龍米段1441~1470地號,1618.79,其他,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,37,,0.0,0,,RPXRMLNJJIKFFEF98CC
淡水區,房地(土地+建物),新北市淡水區坪頂路31~60號,27.74,住,,,10408,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001103,147.62,0,0,0,無,有,有,20000,135,,0.0,0,,RPOSMLNJJIKFFEF18CC
淡水區,房地(土地+建物),新北市淡水區坪頂路52弄1~30號,16.86,住,,,10408,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001103,90.01,0,0,0,無,有,有,20000,222,,0.0,0,,RPPSMLNJJIKFFEF28CC
淡水區,建物,新北市淡水區英專路61~90號,0.0,住,,,10410,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660609,67.57,2,2,2,有,無,有,18000,266,,0.0,0,,RPXNMLOJJIKFFEF68CC
八里區,房地(土地+建物)+車位,新北市八里區龍米路一段181~210號,4.71,住,,,10410,土地1建物1車位1,十六層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011119,57.7,1,1,1,有,有,有,15000,260,坡道機械,0.0,0,,RPTOMLOJJIKFFEF38CC
淡水區,房地(土地+建物),新北市淡水區北新路141巷60弄1~30號,17.82,住,,,10409,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830809,106.85,4,1,2,有,有,有,15000,140,,0.0,0,含管理費費用,RPOPMLOJJIKFFEF97CC
土城區,房地(土地+建物),新北市土城區亞洲路11巷1弄1~30號,237.0,其他,,,10410,土地1建物1車位0,見其他登記事項,2,廠辦,工商用,鋼筋混凝土造,,350.4,0,0,0,無,無,無,120000,342,,0.0,0,,RPPPMLOJJIKFFAF67CC
土城區,房地(土地+建物),新北市土城區明峰街1~30號,4.62,住,,,10410,土地1建物1車位0,二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850522,38.96,0,0,0,無,無,有,9000,231,,0.0,0,,RPTPMLOJJIKFFAF08CC
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道二段91~120號,16.53,其他,,,10410,土地1建物1車位1,二十四層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970806,257.59000000000003,4,2,2,有,有,有,65000,252,坡道平面,34.44,0,,RPUQMLOJJIKFFAF28CC
永和區,建物,新北市永和區環河西路二段211~240號,0.0,住,,,10410,土地0建物1車位0,一層,23,店面(店鋪),商業用,鋼筋混凝土造,0880530,109.05999999999999,1,0,0,有,有,無,28000,257,,0.0,0,,RPQPMLOJJIKFFHF48CC
板橋區,建物,新北市板橋區中山路一段31~60號,0.0,商,,,10409,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0600409,157.14,0,0,0,無,無,無,210000,1336,,0.0,0,只租1+2層,RPTQMLOJJIKFFAF38EC
三重區,房地(土地+建物),新北市三重區光復路一段68巷1~30號,1020.75,工,,,10410,土地1建物1車位0,見其他登記事項,2,工廠,工業用,加強磚造,0540501,507.66,0,0,0,無,無,無,320000,,,0.0,0,含增建或未登記建物。,RPOOMLOJJIKFFGF08CC
三重區,建物,新北市三重區光復路一段68巷24弄1~30號,0.0,工,,,10410,土地0建物1車位0,一層,1,工廠,工業用,見其他登記事項,0550630,490.05,0,0,0,無,無,無,120000,,,0.0,0,租金未稅價。,RPPOMLOJJIKFFGF18CC
三重區,建物,新北市三重區光復路一段1~30號,0.0,工,,,10410,土地0建物1車位0,一層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0760611,123.97,0,0,0,無,無,無,38000,307,,0.0,0,(1)含增建或未登記建物。(2)租金未稅。,RPTOMLOJJIKFFGF58CC
新店區,建物,新北市新店區寶中路91~120號,0.0,,,,10408,土地0建物1車位1,八層,10,廠辦,工業用,鋼筋混凝土造,0811119,106.58,3,0,0,有,有,無,31500,296,坡道機械,0.0,0,,RPOOMLOJJIKFFCF77DC
新店區,建物,新北市新店區寶中路91~120號,0.0,,,,10408,土地0建物1車位1,八層,10,廠辦,工業用,鋼筋混凝土造,0811119,106.58,3,0,0,有,有,無,21000,197,坡道機械,0.0,0,,RPPOMLOJJIKFFCF87DC
汐止區,建物,新北市汐止區南陽街271~300號,0.0,工,,,10410,土地0建物1車位0,全,2,透天厝,住工用,鋼筋混凝土造,0770306,373.24,0,0,0,無,無,無,60000,161,,0.0,0,,RPQOMLOJJIKFFDF08DC
蘆洲區,房地(土地+建物),新北市蘆洲區集賢路301~330號,412.61,住,,,10410,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0931012,855.5,0,0,0,無,無,無,260000,304,,0.0,0,,RPUNMLPJJIKFFGF68CC
中和區,房地(土地+建物),新北市中和區板南路661~690號,28.72,工,,,10410,土地1建物1車位0,七層,18,廠辦,見其他登記事項,見其他登記事項,0981015,271.1,0,0,0,無,有,無,63000,232,,0.0,0,,RPUOMLPJJIKFFHF88CC
三峽區,房地(土地+建物),新北市三峽區國際二街1~30號,5.34,住,,,10410,土地1建物1車位0,十層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970204,39.1,1,0,1,有,有,有,8800,225,,0.0,0,,RPUOMLPJJIKFFIF98CC
