鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,玉川段61~90地號,95.0,住,,,10410,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4750000,50000,,0.0,0,,RPRNMLNLJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿南興路199巷31~60號,27.22,住,,,10409,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840830,117.21,3,2,2,有,有,2800000,23889,,0.0,0,,RPWNMLRLJIKFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義巿市宅街31~60號,20.02,住,,,10409,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830616,106.84,3,1,1,有,有,3000000,28079,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLOJJIKFFAI38DA
嘉義市,房地(土地+建物),嘉義市嘉義巿安樂街86巷1~30號,61.4,住,,,10410,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0571110,88.3,3,2,2,有,無,3650000,41336,,0.0,0,,RPXOMLMJKIKFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義巿育人路241~270號,90.85,住,,,10410,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850322,161.32,4,2,3,有,無,6100000,37813,,0.0,0,,RPWNMLKMJIKFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義巿國聖一街31~60號,80.0,住,,,10410,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710510,99.62,4,2,3,有,無,5980000,60028,,0.0,0,含增建或未登記建物。,RPPOMLKMJIKFFAI57CA
嘉義市,房地(土地+建物),嘉義市嘉義巿小雅路181~210號,4.88,住,,,10410,土地1建物1車位0,五層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820609,40.91,1,1,1,有,有,730000,17844,,0.0,0,,RPQNMLOKJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿彌陀路238巷59弄1~30號,29.43,住,,,10410,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790219,143.76,3,2,2,有,有,3720000,25876,,0.0,0,,RPRNMLOKJIKFFAI87CA
嘉義市,房地(土地+建物),嘉義市嘉義巿保建街31~60號,19.14,住,,,10410,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820623,112.45,3,2,2,有,有,3600000,32014,,0.0,0,,RPXNMLOKJIKFFAI48CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿南興路199巷31~60號,31.98,住,,,10410,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840830,137.73,4,2,2,有,無,3300000,23960,坡道平面,0.0,0,,RPQOMLNKJIKFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義巿光彩街61~90號,94.0,商,,,10410,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0551220,139.84,3,2,2,有,無,10900000,77946,,0.0,0,,RPQNMLOJJIKFFAI67CA
