編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLQKJIKFFDH38CA,15,181.99,見其他登記事項,鋼筋混凝土造,89年4月28日,三層,一層 二層 三層 屋頂突出物
RPROMLOLJIKFFDH28CA,1,229.65,見其他登記事項,鋼筋混凝土造,103年11月5日,三層,一層 二層 三層
RPSOMLOLJIKFFDH38CA,1,200.12,住家用,鋼筋混凝土造,103年11月5日,三層,一層 二層 三層
RPPNMLLLJIKFFDH67CA,9,176.75,見其他登記事項,鋼筋混凝土造,95年8月20日,四層,一層 二層 三層 四層 屋頂突出物
RPQOMLMJKIKFFDH87CA,,85.96,住家用,鋼筋混凝土造,104年5月25日,十五層,九層
RPQOMLMJKIKFFDH87CA,,74.52,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPROMLMJKIKFFDH97CA,,63.46,住家用,鋼筋混凝土造,104年5月25日,十五層,二層
RPROMLMJKIKFFDH97CA,,61.77,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPSOMLMJKIKFFDH08CA,,63.46,住家用,鋼筋混凝土造,104年5月25日,十五層,四層
RPSOMLMJKIKFFDH08CA,,63.92,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPTOMLMJKIKFFDH18CA,,63.46,住家用,鋼筋混凝土造,104年5月25日,十五層,七層
RPTOMLMJKIKFFDH18CA,,61.77,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPUOMLMJKIKFFDH28CA,,74.00,商業用,鋼筋混凝土造,104年5月25日,十五層,一層
RPUOMLMJKIKFFDH28CA,,69.65,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPVOMLMJKIKFFDH38CA,,108.53,住家用,鋼筋混凝土造,104年5月25日,十五層,七層
RPVOMLMJKIKFFDH38CA,,82.83,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPWOMLMJKIKFFDH48CA,,63.56,住家用,鋼筋混凝土造,104年5月25日,十五層,三層
RPWOMLMJKIKFFDH48CA,,64.06,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPXOMLMJKIKFFDH58CA,,63.56,住家用,鋼筋混凝土造,104年5月25日,十五層,十一層
RPXOMLMJKIKFFDH58CA,,61.91,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPQNMLKKJIKFFEH67CA,21,96.23,住家用,鋼筋混凝土造,83年5月31日,十三層,八層
RPQNMLKKJIKFFEH67CA,21,19.19,共有部份,鋼筋混凝土造,83年5月31日,十三層,
RPQNMLKKJIKFFEH67CA,21,16.69,共有部份,鋼筋混凝土造,83年5月31日,十五層,
RPOPMLQJJIKFFEH18CA,1,131.84,住家用,鋼筋混凝土造,103年6月10日,十一層,七層
RPOPMLQJJIKFFEH18CA,1,176.78,共有部份,鋼筋混凝土造,103年6月10日,十一層,
RPPPMLQJJIKFFEH28CA,33,82.77,住家用,鋼筋混凝土造,71年9月22日,二層,一層 二層
