編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLNKJIKFFDF87CC,水源段,.00,都市：住
RPQNMLNKJIKFFDF87CC,水源段,.00,都市：其他
RPSNMLNKJIKFFDF08CC,智興段,.00,都市：商
RPXNMLNKJIKFFDF58CC,智興段,.00,都市：住
RPQNMLNKJIKFFEF97CC,新巿段,16.62,都市：住
RPRNMLNKJIKFFAF67CC,文化段,2.35,都市：住
RPOQMLNKJIKFFAF67CC,文化段,35.52,都市：住
RPROMLNKJIKFFBF87CC,建國段,2667.15,都市：其他
RPTPMLNKJIKFFBF18CC,力行段,30.27,都市：商
RPQQMLNKJIKFFBF97CC,麗林段,11.04,都市：商
RPWQMLNKJIKFFIF66CC,大學段一小段,24.17,都市：商
RPPRMLNKJIKFFIF68CC,大學段一小段,24.03,都市：商
RPRNMLOKJIKFFCF97CC,安德段,.00,非都市： ; 非都市編定：
RPPNMLPKJIKFFEF08CC,竹圍段,1.83,都市：工
RPPNMLPKJIKFFEF08CC,竹圍段,30.58,都市：工
RPPNMLPKJIKFFEF08CC,竹圍段,.08,都市：工
RPPNMLPKJIKFFEF08CC,竹圍段,.01,都市：工
RPPNMLPKJIKFFEF08CC,竹圍段,.20,都市：工
