編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLSJKIKFFCB77CA,23,61.51,住家用,鋼筋混凝土造,81年10月23日,六層,六層
RPRNMLSJKIKFFCB77CA,23,11.29,共有部分,鋼筋混凝土造,81年10月23日,六層,
RPTNMLSJKIKFFCB97CA,5,188.53,住家用,鋼骨鋼筋混凝土造,100年1月10日,二十八層,十四層
RPTNMLSJKIKFFCB97CA,5,116.82,見其他登記事項,鋼骨鋼筋混凝土造,100年1月10日,二十八層,
RPTNMLSJKIKFFCB97CA,5,.36,見其他登記事項,鋼骨鋼筋混凝土造,100年1月10日,二十八層,
RPSOMLSJKIKFFCB97CA,21,6.60,共有部分,鋼筋混凝土造,83年9月30日,十二層,
RPSOMLSJKIKFFCB97CA,21,13.53,住家用,鋼筋混凝土造,83年9月30日,十二層,三層
RPSOMLSJKIKFFCB97CA,21,7.07,共有部分,鋼筋混凝土造,83年9月30日,十二層,
RPSOMLSJKIKFFCB97CA,21,13.99,住家用,鋼筋混凝土造,83年9月30日,十二層,三層
RPTQMLTJKIKFFCB38CA,35,43.32,住家用,鋼筋混凝土造,69年12月24日,五層,二層
RPRNMLNKJIKFFAL08CA,21,71.58,商業用,鋼筋混凝土造,83年12月19日,九層,一層 騎樓
RPRNMLNKJIKFFAL08CA,21,11.38,共同使用部份,鋼筋混凝土造,83年12月19日,九層,
RPSNMLRKJIKFFAL58CA,19,21.17,住家用,鋼筋混凝土造,85年7月17日,二十層,四層
RPSNMLRKJIKFFAL58CA,19,12.11,共同使用部份,鋼筋混凝土造,85年7月17日,二十層,
RPTNMLNLJIKFFAL38CA,41,242.15,住家用,加強磚造,64年1月15日,二層,一層 二層 騎樓
RPRNMLKLJIKFFAL87CA,19,8.03,停車空間,鋼筋混凝土造,85年7月17日,二十層,
RPPOMLOLJIKFFAL18CA,1,308.62,見其他登記事項,鋼筋混凝土造,104年3月31日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLLKJIKFFBL77CA,41,121.50,住家用,鋼筋混凝土加強磚造,63年12月30日,二層,一層 二層
RPSNMLNKJIKFFCL38CA,1,190.44,見其他登記事項,鋼筋混凝土造,103年12月11日,三層,一層 二層 三層 屋頂突出物
RPUOMLQLJIKFFCL09CA,3,273.26,住家用,鋼筋混凝土造,101年6月14日,四層,一層 二層 三層 四層
RPVNMLRLJIKFFCL56CA,10,178.65,見其他登記事項,鋼筋混凝土造,95年1月17日,三層,一層 二層 三層 屋頂突出物
RPVNMLKMJIKFFCL58CA,1,199.10,住家用,鋼筋混凝土造,104年3月24日,四層,一層 二層 三層 四層
RPXNMLQKJIKFFFL86CA,1,219.09,見其他登記事項,鋼筋混凝土造,103年10月13日,五層,一層 二層 三層 四層 五層
RPRNMLMKJIKFFFL48CA,21,417.00,住家用,鋼筋混凝土造,83年12月5日,四層,一層 二層 三層 四層 走廊
RPVNMLRJKIKFFFL76CA,21,80.25,住家用,鋼筋混凝土造,84年4月6日,十層,六層
RPVNMLRJKIKFFFL76CA,21,19.40,共有部份,鋼筋混凝土造,84年4月6日,十層,
RPSNMLKMJIKFFGL68CA,20,39.91,見其他登記事項,鋼筋混凝土造,84年5月9日,八層,四層
RPSNMLKMJIKFFGL68CA,20,14.59,共有部分,鋼筋混凝土造,84年5月9日,八層,
RPXNMLRLJIKFFGL17CA,14,202.78,見其他登記事項,鋼筋混凝土造,90年6月11日,四層,一層 二層 三層 四層 見其他登記事項
RPVOMLQKJIKFFGL86CA,7,129.30,見其他登記事項,鋼筋混凝土造,97年7月17日,七層,四層
RPVOMLQKJIKFFGL86CA,7,49.45,共有部分,鋼筋混凝土造,97年7月17日,七層,
RPWOMLLJKIKFFGL09CA,26,165.28,住家用,鋼筋混凝土造,78年10月25日,三層,一層 二層 三層 屋頂突出物
RPTNMLMJKIKFFGL78CA,21,102.95,見其他登記事項,鋼筋混凝土造,83年6月1日,十一層,六層
RPTNMLMJKIKFFGL78CA,21,15.70,共有部分,鋼筋混凝土造,83年6月1日,十一層,
RPVNMLKKJIKFFHL88CA,19,.06,見其他登記事項,鋼筋混凝土造,85年9月2日,十四層,六層
RPVNMLKKJIKFFHL88CA,19,5.72,見其他登記事項,鋼筋混凝土造,85年9月2日,十四層,
RPVNMLKKJIKFFHL88CA,19,1027.85,見其他登記事項,鋼筋混凝土造,85年9月2日,十四層,
RPSNMLMKJIKFFHL78CA,38,105.36,住家用,加強磚造,67年1月24日,二層,一層 二層
RPPNMLRLJIKFFHL09CA,1,295.26,見其他登記事項,鋼筋混凝土造,103年11月25日,四層,一層 二層 三層 四層
RPPNMLRLJIKFFHL09CA,1,2.96,見其他登記事項,鋼筋混凝土造,103年11月25日,一層,
RPPNMLNJKIKFFHL58CA,11,282.63,住家用,鋼筋混凝土造,93年7月28日,四層,一層 二層 三層 四層
RPOOMLSKJIKFFHL09CA,24,111.12,見其他登記事項,鋼筋混凝土造,80年12月5日,五層,一層 騎樓 夾層
RPOOMLSKJIKFFHL09CA,24,14.51,共有部份,鋼筋混凝土造,80年12月5日,五層,
RPOOMLSKJIKFFHL09CA,24,28.97,見其他登記事項,鋼筋混凝土造,80年12月5日,五層,地下層
RPPNMLMKJIKFFGL48DA,34,97.86,住商用,加強磚造,70年9月10日,二層,一層 二層
RPQPMLMKJIKFFCB37DA,21,16.49,住家用,鋼筋混凝土造,84年2月20日,十三層,十二層
RPQPMLMKJIKFFCB37DA,21,3.93,共有部分,鋼筋混凝土造,84年2月20日,十三層,
RPQPMLMKJIKFFCB37DA,21,3.27,見其他登記事項,鋼筋混凝土造,84年2月20日,十三層,
RPWTMLRJKIKFFHL67CA,,195.48,見其他登記事項,鋼筋混凝土造,104年7月10日,三層,一層 二層 三層 見其他登記事項
RPWTMLRJKIKFFHL67CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPXTMLRJKIKFFHL77CA,,208.95,見其他登記事項,鋼筋混凝土造,104年7月10日,四層,一層 二層 三層 四層
RPXTMLRJKIKFFHL77CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPOUMLRJKIKFFHL96CA,,178.88,見其他登記事項,鋼筋混凝土造,104年7月10日,三層,一層 二層 三層 見其他登記事項
RPOUMLRJKIKFFHL96CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPPNMLQKJIKFFIL98CA,35,38.61,住家用,加強磚造,69年8月10日,四層,二層
RPPUMLRJKIKFFHL07CA,,179.16,見其他登記事項,鋼筋混凝土造,104年7月11日,三層,一層 二層 三層 見其他登記事項
RPPUMLRJKIKFFHL07CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPRNMLTJKIKFFHL76CA,,295.27,見其他登記事項,鋼筋混凝土造,104年7月10日,四層,一層 二層 三層 四層 騎樓
RPRNMLTJKIKFFHL76CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPSNMLTJKIKFFHL86CA,,195.82,見其他登記事項,鋼筋混凝土造,104年7月10日,三層,一層 二層 三層 見其他登記事項
RPSNMLTJKIKFFHL86CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPUNMLTJKIKFFHL07CA,,177.29,見其他登記事項,鋼筋混凝土造,104年7月11日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJKIKFFHL07CA,,.18,見其他登記事項,鋼筋混凝土造,104年7月11日,一層,一層
RPPOMLNLJIKFFAB17DA,37,52.02,商業用,鋼骨混凝土造,68年2月7日,十一層,十層
RPPOMLNLJIKFFAB17DA,37,6.49,共有部份,見其他登記事項,68年2月7日,十一層,
RPWRMLMKJIKFFBB08DA,1,72.51,住家用,鋼筋混凝土造,103年10月6日,十四層,九層
RPWRMLMKJIKFFBB08DA,1,68.87,見其它登記事項,鋼筋混凝土造,103年10月6日,十四層,
RPWRMLMKJIKFFBB08DA,1,.48,見其它登記事項,鋼筋混凝土造,103年10月6日,十四層,一層
RPWRMLMKJIKFFBB08DA,1,.15,見其它登記事項,鋼筋混凝土造,103年10月6日,十四層,
RPPOMLKKKIKFFCB07DA,24,95.09,住家用,鋼筋混凝土造,80年8月3日,七層,六層
RPPOMLKKKIKFFCB07DA,24,40.56,共有部分,鋼筋混凝土造,80年8月3日,七層,
RPQNMLNKJIKFFBB17DA,30,209.02,住商用,鋼筋混凝土造,74年6月7日,三層,一層 二層 三層 騎樓 地下層
RPPNMLNKJIKFFGL58DA,36,105.83,住家用,鋼筋混凝土造,68年12月13日,五層,五層
RPQOMLKLJIKFFHL68DA,21,208.41,見其他登記事項,鋼筋混凝土造,83年9月14日,四層,一層 二層 三層 四層 騎樓
RPVNMLTKJIKFFAB28EA,9,81.72,見其他登記事項,鋼筋混凝土造,95年8月1日,十五層,二層
RPVNMLTKJIKFFAB28EA,9,38.10,見其他登記事項,鋼筋混凝土造,95年8月1日,十五層,
