編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLOLJIKFFAI48CA,22,14.42,共有部份,鋼筋混凝土造,82年10月27日,十層,
RPQOMLRLJIKFFAI28CA,34,118.33,住家用,鋼筋混凝土加強磚造,70年12月1日,二層,一層 二層
RPPNMLSLJIKFFAI18CA,25,208.63,住商用,鋼筋混凝土造,79年12月15日,四層,一層 二層 三層 四層 騎樓
RPOOMLRLJIKFFAI08CA,24,83.19,住家用,鋼筋混凝土造,80年10月4日,十層,四層
RPOOMLRLJIKFFAI08CA,24,10.53,共有部份,鋼筋混凝土造,80年10月4日,十層,
RPOOMLRLJIKFFAI08CA,24,8.60,共有部份,鋼筋混凝土造,80年10月4日,十層,
RPTOMLNKJIKFFAI08CA,39,102.40,住家用,木造,65年5月1日,二層,一層 二層
RPQNMLQKJIKFFAI97CA,26,172.22,見其他登記事項,見其他登記事項,78年11月24日,二層,一層 二層 騎樓
RPPNMLNKJIKFFAI57CA,1,544.07,見其他登記事項,見其他登記事項,103年12月11日,五層,一層 二層 三層 四層 五層 騎樓
RPQNMLNKJIKFFAI67CA,1,577.38,見其他登記事項,見其他登記事項,103年12月11日,五層,見其他登記事項 一層 二層 三層 四層 五層 騎樓
RPPOMLRLJIKFFAI18CA,33,100.36,住商用,鋼筋混凝土加強磚造,71年12月16日,二層,一層 二層
RPRNMLSLJIKFFAI38CA,44,80.74,住家用,鋼筋混凝土加強磚造,60年10月10日,二層,一層 二層
RPPNMLTKJIKFFAI18CA,21,93.18,住家用,鋼筋混凝土造,83年7月23日,十一層,五層
RPPNMLTKJIKFFAI18CA,21,20.50,共有部份,鋼筋混凝土造,83年7月23日,十一層,
RPUNMLLKKIKFFAI97CA,20,28.39,住家用,鋼筋混凝土造,84年7月11日,十二層,五層
RPUNMLLKKIKFFAI97CA,20,6.77,共有部份,鋼筋混凝土造,84年7月11日,十二層,
RPPOMLLKKIKFFAI57CA,20,24.27,商業用,鋼筋混凝土造,85年3月1日,十一層,九層
RPPOMLLKKIKFFAI57CA,20,11.89,共有部份,鋼筋混凝土造,85年3月1日,十一層,
RPPOMLLKKIKFFAI57CA,20,9.58,共有部份,鋼筋混凝土造,85年3月1日,十一層,
RPSNMLNJKIKFFAI87CA,31,156.05,住商用,鋼筋混凝土造,73年4月16日,三層,一層 二層 三層 騎樓 地下層
RPQOMLOJKIKFFAI87CA,38,196.59,住家用,鋼筋混凝土加強磚造,66年6月28日,二層,一層 二層
