鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
內湖區,建物,臺北市內湖區金豐街31~60號,0.0,商,,,10410,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0991124,112.36,2,2,1,有,有,有,31000,276,,0.0,0,租金含車位及管理費,RPXNMLMJJIKFFCA77CC
內湖區,建物,臺北市內湖區南京東路六段451巷31~60號,0.0,商,,,10410,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971205,84.73,1,1,1,有,有,有,25000,295,坡道機械,16.52,0,,RPOOMLMJJIKFFCA96CC
內湖區,土地,潭美段三小段91~120地號,115.0,工,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,15000,130,,0.0,0,,RPQOMLMJJIKFFCA17CC
中山區,建物,臺北市中山區長安東路一段30巷8弄1~30號,0.0,商,,,10410,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000222,168.09,2,1,2,有,有,有,60000,357,,0.0,0,,RPROMLMJJIKFFCA27CC
中山區,建物,臺北市中山區松江路77巷1~30號,0.0,住,,,10410,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931224,60.019999999999996,2,1,2,有,有,無,50000,833,,0.0,0,,RPSOMLMJJIKFFCA37CC
中山區,建物,臺北市中山區長安東路二段211~240號,0.0,商,,,10410,土地0建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0740418,122.17999999999999,0,0,0,無,有,無,40000,327,,0.0,0,,RPTOMLMJJIKFFCA47CC
內湖區,建物,臺北市內湖區文德路61~90號,0.0,住,,,10410,土地0建物1車位1,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,255.08,4,2,2,有,有,有,50000,196,坡道平面,12.38,0,僅租一個車位，車位編號28號，車位樓層5層，管理費6978元/月,RPUOMLMJJIKFFCA57CC
內湖區,建物,臺北市內湖區星雲街168巷1~30號,0.0,住,,,10410,土地0建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,163.17000000000002,3,2,1,有,有,有,34000,208,坡道平面,13.4,0,租金含管理費及車位清潔費,RPWOMLMJJIKFFCA77CC
大安區,建物,臺北市大安區延吉街97巷1~30號,0.0,住,,,10410,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740722,106.69,3,2,2,有,無,有,39300,368,,0.0,0,租金含管理費,RPQNMLMJJIKFFFA37CC
大安區,房地(土地+建物),臺北市大安區復興南路一段61~90號,18.3,商,,,10409,土地1建物2車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,,103.59,0,0,0,無,無,無,160000,1545,,0.0,0,,RPRNMLMJJIKFFFA47CC
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,10410,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.42999999999999,2,1,1,有,有,有,48000,781,,0.0,0,,RPWNMLMJJIKFFFA97CC
萬華區,建物,臺北市萬華區武昌街二段121~150號,0.0,商,,,10409,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0671218,76.36,0,0,0,無,有,無,33000,432,,0.0,0,,RPPNMLMJJIKFFBA86CC
