編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLTLJIKFFAF48CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十三層
RPTOMLTLJIKFFAF48CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTOMLTLJIKFFAF48CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTOMLTLJIKFFAF48CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十四層
RPUOMLTLJIKFFAF58CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUOMLTLJIKFFAF58CA,,35.27,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十五層
RPVOMLTLJIKFFAF68CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVOMLTLJIKFFAF68CA,,75.98,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,五層
RPXOMLTLJIKFFAF88CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXOMLTLJIKFFAF88CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,六層
RPOPMLTLJIKFFAF08CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOPMLTLJIKFFAF08CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,98.50,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,七層
RPPPMLTLJIKFFAF18CA,,26.72,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,15.91,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPPMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,三層
RPXPMLTLJIKFFAF98CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPXPMLTLJIKFFAF98CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,四層
RPOQMLTLJIKFFAF18CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,13.84,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLTLJIKFFAF18CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,五層
RPPQMLTLJIKFFAF28CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPPQMLTLJIKFFAF28CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQQMLTLJIKFFAF38CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,六層
RPQQMLTLJIKFFAF38CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQQMLTLJIKFFAF38CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPQQMLTLJIKFFAF38CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRQMLTLJIKFFAF48CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,七層
RPRQMLTLJIKFFAF48CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRQMLTLJIKFFAF48CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPRQMLTLJIKFFAF48CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSQMLTLJIKFFAF58CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,九層
RPSQMLTLJIKFFAF58CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSQMLTLJIKFFAF58CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSQMLTLJIKFFAF58CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSPMLTLJIKFFAF48CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十層
RPSPMLTLJIKFFAF48CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSPMLTLJIKFFAF48CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPSPMLTLJIKFFAF48CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTPMLTLJIKFFAF58CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十一層
RPTPMLTLJIKFFAF58CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTPMLTLJIKFFAF58CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPTPMLTLJIKFFAF58CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUPMLTLJIKFFAF68CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十三層
RPUPMLTLJIKFFAF68CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUPMLTLJIKFFAF68CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPUPMLTLJIKFFAF68CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVPMLTLJIKFFAF78CA,,85.82,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,十四層
RPVPMLTLJIKFFAF78CA,,23.28,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVPMLTLJIKFFAF78CA,,13.86,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPVPMLTLJIKFFAF78CA,,40.70,見其他登記事項,鋼筋混凝土造,104年9月8日,十五層,
RPOQMLOJJIKFFBF57CA,48,267.84,住商用,加強磚造,57年4月3日,三層,一層 二層 三層 騎樓
RPROMLNJJIKFFBF57CA,4,72.95,見其他登記事項,鋼筋混凝土造,100年6月8日,十三層,九層
RPROMLNJJIKFFBF57CA,4,60.80,見其他登記事項,鋼筋混凝土造,100年6月8日,十三層,
RPPPMLPJJIKFFBF67CA,28,86.43,住家用,鋼筋混凝土造,76年10月24日,五層,五層
RPPPMLPJJIKFFBF67CA,28,9.81,共有部分,鋼筋混凝土造,76年10月24日,五層,
RPQPMLPJJIKFFBF77CA,21,84.53,工業用,鋼筋混凝土造,83年5月26日,十層,十層
RPQPMLPJJIKFFBF77CA,21,7.98,共有部分,鋼筋混凝土造,83年5月26日,十層,
RPQPMLPJJIKFFBF77CA,21,4.92,共有部分,鋼筋混凝土造,83年5月26日,十層,
RPQPMLPJJIKFFBF77CA,21,7.63,共有部分,鋼筋混凝土造,83年5月26日,十層,
RPUOMLTJJIKFFBF48CA,2,229.58,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,五層
RPUOMLTJJIKFFBF48CA,2,161.66,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPWQMLLKJIKFFBF18CA,1,114.19,見其他登記事項,鋼筋混凝土造,103年12月11日,九層,四層
RPWQMLLKJIKFFBF18CA,1,66.83,見其他登記事項,鋼筋混凝土造,103年12月11日,九層,
RPXNMLMKJIKFFBF08CA,20,121.23,住家用,鋼筋混凝土造,85年3月11日,十三層,六層
RPXNMLMKJIKFFBF08CA,20,24.10,共有部分,鋼筋混凝土造,85年3月11日,十三層,
RPTQMLNKJIKFFBF08CA,1,151.00,見其他登記事項,鋼筋混凝土造,103年9月11日,二十層,二層
RPTQMLNKJIKFFBF08CA,1,83.37,見其他登記事項,鋼筋混凝土造,103年9月11日,二十一層,
RPTQMLNKJIKFFBF08CA,1,29.73,見其他登記事項,鋼筋混凝土造,103年9月11日,二十層,
RPWOMLQKJIKFFBF48CA,,91.80,見其他登記事項,鋼筋混凝土造,104年9月3日,十九層,十三層
RPWOMLQKJIKFFBF48CA,,52.16,見其他登記事項,鋼筋混凝土造,104年9月3日,十九層,
RPWOMLQKJIKFFBF48CA,,22.45,見其他登記事項,鋼筋混凝土造,104年9月3日,十九層,
RPXOMLQKJIKFFBF58CA,,91.63,見其他登記事項,鋼筋混凝土造,104年9月3日,十九層,八層
RPXOMLQKJIKFFBF58CA,,54.20,見其他登記事項,鋼筋混凝土造,104年9月3日,十九層,
