鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿惠民街91~120號,92.0,其他,,,10409,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0740202,113.83,5,2,4,有,無,15600000,137046,,0.0,0,,RPUOMLQLJIKFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿振興一街1~30號,22.66,住,,,10410,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830131,118.47,3,2,2,有,有,5500000,46425,坡道機械,0.0,0,,RPPQMLKLJIKFFAO28CA
新竹市,房地(土地+建物),新竹市新竹巿民生路241~270號,12.8,商,,,10408,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851231,142.98000000000002,4,1,4,有,有,6930000,48468,,0.0,0,含增建或未登記建物。,RPOPMLNLJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關東路178巷1~30號,20.74,住,,,10410,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850326,132.9,3,2,2,有,有,7100000,53424,坡道機械,0.0,0,,RPSPMLSKJIKFFAO56CA
新竹市,土地,竹蓮段181~210地號,150.0,其他,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15779000,105193,,0.0,0,(包含)公共設施保留地之交易。,RPXPMLSKJIKFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿田美三街5巷1~30號,40.43,住,,,10410,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0790903,157.14,5,3,2,有,有,7700000,49001,坡道平面,0.0,0,,RPWNMLSKJIKFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光復路一段31~60號,26.37,其他,,,10410,土地3建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800801,165.44,3,2,2,有,有,7000000,42311,坡道平面,0.0,0,,RPOOMLTKJIKFFAO78CA
新竹市,土地,美山段571~600地號,2044.42,農,,,10410,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,60600000,29642,,0.0,0,,RPPNMLOLJIKFFAO38CA
新竹市,房地(土地+建物),新竹市新竹巿光復路二段298巷5弄1~30號,44.1,住,,,10410,土地6建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840713,139.95,3,2,2,有,有,9000000,64309,,0.0,0,,RPWNMLNLJIKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿光復路二段271~300號,8.97,住,,,10410,土地1建物1車位0,十七層,二十三層,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0820821,143.55,0,0,0,無,有,7700000,53640,,0.0,0,,RPROMLQKJIKFFAO98EA
新竹市,房地(土地+建物),新竹市新竹巿水源街61~90號,206.0,其他,,,10410,土地1建物1車位0,一層，二層，三層,三層,店面(店鋪),住家用,加強磚造,0550922,173.79,0,0,0,無,無,39000000,224409,,0.0,0,,RPPNMLKMJIKFFAO08CA
新竹市,房地(土地+建物),新竹市新竹巿水源街61~90號,385.0,其他,,,10410,土地3建物1車位0,一層，二層，地下層,二層,廠辦,工業用,加強磚造,0601105,590.8,0,0,0,無,無,110000000,186188,,0.0,0,,SPPNMLKMJIKFFAO18CA
新竹市,房地(土地+建物),新竹市新竹巿中華路四段411巷11弄1~30號,101.2,,山坡地保育區,丙種建築用地,10410,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040421,178.37,4,3,4,有,無,12800000,71761,,0.0,0,含增建或未登記建物約20坪。,RPTNMLNKJIKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿自由路95巷18弄1~30號,6.1,商,,,10410,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800122,42.81,1,1,1,有,無,1800000,42046,,0.0,0,,RPWSMLRKJIKFFAO17CA
新竹市,房地(土地+建物),新竹市新竹巿東大路四段61~90號,50.27,住,,,10410,土地1建物1車位0,一層，騎樓，見其他登記事項,五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040311,114.81,0,0,1,有,無,13550000,118021,,0.0,0,,RPROMLMKJIKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿明湖路751~780號,14.1,其他,,,10410,土地1建物1車位1,二層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,83.9,1,1,1,有,有,2900000,34565,坡道平面,34.06,0,,RPPOMLMKJIKFFAO18CA
新竹市,土地,東光段151~180地號,28.0,其他,,,10411,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3785600,135200,,0.0,0,,RPWNMLMKJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光復路一段544巷31~60號,130.12,住,,,10410,土地2建物1車位3,一層，二層，見其他登記事項,二十三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031220,340.7,4,2,4,有,有,27700000,81303,坡道平面,100.2,0,,RPPNMLMKJIKFFAO08CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.86,商,,,10110,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,185.57999999999998,3,2,2,有,有,13980000,82659,坡道平面,29.76,1100000,,RPQNMLSKJIKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10107,土地1建物1車位1,四層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,13120000,77409,坡道平面,29.76,1000000,,RPRNMLSKJIKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.98,商,,,10405,土地1建物1車位1,二十五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,186.32999999999998,3,2,2,有,有,15800000,84796,坡道平面,29.76,0,,RPUNMLSKJIKFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿慈雲路121~150號,14.86,商,,,10405,土地1建物1車位1,二十五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,185.18,3,2,2,有,有,15700000,84787,坡道平面,29.76,0,,RPVNMLSKJIKFFAO66CA
